w1,w2,w3,w4,score,n_selected,threshold
0.9,0.9,0.1,0.1,3.0336568,50000,0.06103773105251501
0.9,0.8,0.1,0.1,3.0389752,50000,0.06219199232871194
0.9,0.7,0.1,0.1,3.0438075,50000,0.06341952201060529
0.8,0.9,0.1,0.1,3.0483298,50000,0.06212177654194912
0.9,0.6,0.1,0.1,3.0497766,50000,0.06474486051066297
0.8,0.8,0.1,0.1,3.053254,50000,0.06337493331308248
0.9,0.5,0.1,0.1,3.055035,50000,0.0661920387873714
0.8,0.7,0.1,0.1,3.0595372,50000,0.06471290042245835
0.9,0.9,0.2,0.1,3.0598526,50000,0.06424649537822039
0.9,0.4,0.1,0.1,3.0622916,50000,0.06775779564697201
0.7,0.9,0.1,0.1,3.0639882,50000,0.06328878253644271
0.9,0.8,0.2,0.1,3.065321,50000,0.06538059953339484
0.8,0.6,0.1,0.1,3.0666294,50000,0.06617185595694043
0.9,0.3,0.1,0.1,3.0699534,50000,0.06948973987368971
0.9,0.7,0.2,0.1,3.0702193,50000,0.06658641244829552
0.7,0.8,0.1,0.1,3.0703998,50000,0.06463761977394153
0.8,0.5,0.1,0.1,3.0743167,50000,0.06775771130906685
0.9,0.6,0.2,0.1,3.075029,50000,0.06786699372166233
0.8,0.9,0.2,0.1,3.0754197,50000,0.06529961673505036
0.7,0.7,0.1,0.1,3.077186,50000,0.06610233354082974
0.9,0.2,0.1,0.1,3.078616,50000,0.07139611855142129
0.9,0.9,0.3,0.1,3.079985,50000,0.06663915800666724
0.8,0.8,0.2,0.1,3.0805802,50000,0.06651838201345381
0.9,0.5,0.2,0.1,3.0820758,50000,0.06924043319330019
0.8,0.4,0.1,0.1,3.0825896,50000,0.069506074732319
0.6,0.9,0.1,0.1,3.0826244,50000,0.06453864581297508
0.9,0.8,0.3,0.1,3.0851421,50000,0.06771122782192261
0.7,0.6,0.1,0.1,3.0854542,50000,0.0676937739994872
0.8,0.7,0.2,0.1,3.0865014,50000,0.06780668923943876
0.9,0.4,0.2,0.1,3.089424,50000,0.0707370253428854
0.9,0.1,0.1,0.1,3.0894675,50000,0.07345806992085097
0.6,0.8,0.1,0.1,3.090047,50000,0.06599807169842979
0.7,0.9,0.2,0.1,3.0910878,50000,0.06640451359873789
0.9,0.7,0.3,0.1,3.0911572,50000,0.06886845721050976
0.8,0.3,0.1,0.1,3.0911825,50000,0.0714349139378017
0.8,0.6,0.2,0.1,3.093402,50000,0.06920094980969799
0.7,0.5,0.1,0.1,3.0947304,50000,0.06946230765827122
0.8,0.9,0.3,0.1,3.0952635,50000,0.0676219947661964
0.9,0.3,0.2,0.1,3.0981655,50000,0.07235543466164064
0.9,0.6,0.3,0.1,3.0983732,50000,0.07009409207182102
0.7,0.8,0.2,0.1,3.0985122,50000,0.06771042983220847
0.6,0.7,0.1,0.1,3.0987353,50000,0.06761333839988387
0.9,0.9,0.4,0.1,3.09957,50000,0.06845561174485057
0.8,0.5,0.2,0.1,3.1003504,50000,0.0707215446289624
0.8,0.2,0.1,0.1,3.1015413,50000,0.07354620107042459
0.8,0.8,0.3,0.1,3.102512,50000,0.06879658663565502
0.5,0.9,0.1,0.1,3.1034987,50000,0.06586180398248417
0.7,0.4,0.1,0.1,3.1038857,50000,0.07140411338318224
0.7,0.7,0.2,0.1,3.10545,50000,0.06912272973467154
0.9,0.8,0.4,0.1,3.106864,50000,0.0695025601581996
0.9,0.5,0.3,0.1,3.107074,50000,0.07140926226160517
0.6,0.6,0.1,0.1,3.108447,50000,0.0693570422735884
0.8,0.4,0.2,0.1,3.1093452,50000,0.07234963146617705
0.6,0.9,0.2,0.1,3.1096988,50000,0.0675786307305236
0.8,0.7,0.3,0.1,3.1098742,50000,0.07003679514839067
0.9,0.2,0.2,0.1,3.109882,50000,0.0740966891182199
0.9,0.7,0.4,0.1,3.112212,50000,0.07059432811599789
0.5,0.8,0.1,0.1,3.1125112,50000,0.06748261137443827
0.7,0.6,0.2,0.1,3.113741,50000,0.0706427538316058
0.7,0.9,0.3,0.1,3.1138434,50000,0.06868155906054443
0.9,0.4,0.3,0.1,3.1146612,50000,0.0728022655811258
0.8,0.1,0.1,0.1,3.1150887,50000,0.07587290872980916
0.7,0.3,0.1,0.1,3.1151314,50000,0.07357006315189421
0.6,0.5,0.1,0.1,3.116767,50000,0.07132818351798703
0.8,0.9,0.4,0.1,3.1173291,50000,0.06942477413166412
0.8,0.6,0.3,0.1,3.1175184,50000,0.07135419502617683
0.6,0.8,0.2,0.1,3.1184943,50000,0.06899267614329181
0.9,0.9,0.5,0.1,3.1195276,50000,0.06989797638802751
0.9,0.6,0.4,0.1,3.1206462,50000,0.07174918095175015
0.8,0.3,0.2,0.1,3.1217537,50000,0.07412233395217176
0.7,0.8,0.3,0.1,3.1225255,50000,0.06993582566174748
0.5,0.7,0.1,0.1,3.12253,50000,0.0692328722541277
0.9,0.1,0.2,0.1,3.1228607,50000,0.07598194811137013
0.7,0.5,0.2,0.1,3.1234145,50000,0.07228389725755187
0.9,0.3,0.3,0.1,3.1244543,50000,0.07427140653613458
0.8,0.8,0.4,0.1,3.1244686,50000,0.07050174262377201
0.9,0.8,0.5,0.1,3.1265047,50000,0.07085222344867573
0.8,0.5,0.3,0.1,3.1269302,50000,0.07275590227908502
0.7,0.2,0.1,0.1,3.1272256,50000,0.07596680367736097
0.4,0.9,0.1,0.1,3.1272466,50000,0.06728836564062271
0.9,0.5,0.4,0.1,3.1287334,50000,0.0729494262002545
0.6,0.7,0.2,0.1,3.1291223,50000,0.07051256152566487
0.6,0.4,0.1,0.1,3.129251,50000,0.07350749000444332
0.7,0.7,0.3,0.1,3.1295989,50000,0.0712503833986962
0.5,0.9,0.2,0.1,3.1315975,50000,0.06884182201815246
0.5,0.6,0.1,0.1,3.1331255,50000,0.07119046443522893
0.9,0.7,0.5,0.1,3.1332796,50000,0.07190209953456622
0.8,0.7,0.4,0.1,3.1335416,50000,0.07164967874760049
0.6,0.9,0.3,0.1,3.1351933,50000,0.06980147169957218
0.8,0.2,0.2,0.1,3.1356459,50000,0.07605983248978072
0.7,0.4,0.2,0.1,3.1359944,50000,0.07408290246429218
0.4,0.8,0.1,0.1,3.1367087,50000,0.06906460161161694
0.7,0.9,0.4,0.1,3.1369045,50000,0.07040968529481677
0.8,0.4,0.3,0.1,3.1375394,50000,0.07427329865222104
0.8,0.9,0.5,0.1,3.1379461,50000,0.07079009119728928
0.9,0.9,0.6,0.1,3.1381686,50000,0.07105960006366376
0.6,0.6,0.2,0.1,3.1392217,50000,0.07218830506104908
