w1,w2,w3,w4,score,n_selected,threshold
0.1,0.1,0.1,0.9,0.17897335,50000,0.03494070277738586
0.1,0.1,0.2,0.9,0.18000367,50000,0.03536871048578832
0.1,0.1,0.3,0.9,0.1806742,50000,0.03548790353330338
0.1,0.1,0.1,0.8,0.1811152,50000,0.03559960369309794
0.1,0.1,0.4,0.9,0.18171257,50000,0.03545569617090458
0.1,0.1,0.2,0.8,0.18245694,50000,0.03597450938521086
0.1,0.1,0.3,0.8,0.18304965,50000,0.036026400628640494
0.1,0.1,0.5,0.9,0.18308105,50000,0.03528335966675106
0.1,0.1,0.1,0.7,0.18360768,50000,0.03630079371371335
0.1,0.1,0.4,0.8,0.18465427,50000,0.03589221104674146
0.1,0.1,0.6,0.9,0.18471563,50000,0.03508579743811211
0.2,0.1,0.1,0.9,0.18472458,50000,0.03688782085462408
0.1,0.1,0.2,0.7,0.1849269,50000,0.03661457365832923
0.1,0.2,0.1,0.9,0.1854045,50000,0.03671049183696771
0.1,0.1,0.1,0.6,0.1857706,50000,0.037050715327604414
0.1,0.1,0.7,0.9,0.18605448,50000,0.03487023768352528
0.1,0.1,0.3,0.7,0.1864268,50000,0.036573893285482585
0.1,0.1,0.5,0.8,0.18644527,50000,0.03565989349682802
0.2,0.1,0.1,0.8,0.18669581,50000,0.037481307827157445
0.2,0.1,0.2,0.9,0.18669939,50000,0.03722507015713328
0.1,0.2,0.1,0.8,0.18761241,50000,0.03731459290725923
0.1,0.2,0.2,0.9,0.18762967,50000,0.03711490795830275
0.1,0.1,0.8,0.9,0.18781047,50000,0.03464070751411147
0.1,0.1,0.6,0.8,0.18812741,50000,0.035414539759208045
0.1,0.1,0.2,0.6,0.18817736,50000,0.03728382747285782
0.1,0.2,0.3,0.9,0.1883881,50000,0.03721709993053386
0.1,0.1,0.4,0.7,0.18841688,50000,0.036365329989602714
0.2,0.1,0.3,0.9,0.18848772,50000,0.03730980552344876
0.2,0.2,0.1,0.9,0.1888456,50000,0.03803314357007302
0.1,0.1,0.9,0.9,0.18913907,50000,0.03438291578675804
0.1,0.1,0.1,0.5,0.18918031,50000,0.03790217730415513
0.3,0.1,0.1,0.9,0.18918929,50000,0.03810559043064257
0.2,0.1,0.1,0.7,0.18926038,50000,0.03808515787155166
0.2,0.1,0.2,0.8,0.1894934,50000,0.0377282411364501
0.1,0.1,0.7,0.8,0.1895129,50000,0.03516609268579439
0.1,0.2,0.2,0.8,0.1898097,50000,0.03764826188382602
0.1,0.2,0.1,0.7,0.18988964,50000,0.03789349521720059
0.1,0.2,0.4,0.9,0.1900588,50000,0.037163515852245414
0.2,0.1,0.4,0.9,0.19029371,50000,0.037205348605319925
0.1,0.1,0.5,0.7,0.19032544,50000,0.03607210211454659
