w1,w2,w3,w4,score,n_selected,threshold
0.9,0.1,0.1,0.8,0.10793927,50000,0.03900880545331839
0.9,0.2,0.1,0.9,0.10798042,50000,0.038930256996111245
0.9,0.1,0.1,0.9,0.10798344,50000,0.03886960246837552
0.9,0.2,0.1,0.8,0.108134955,50000,0.03903712704639353
0.9,0.3,0.1,0.9,0.108152434,50000,0.038896491180107205
0.9,0.1,0.1,0.7,0.10815725,50000,0.039168841173141844
0.9,0.1,0.1,0.6,0.10823947,50000,0.039343184385389446
0.8,0.1,0.1,0.7,0.1082828,50000,0.039667305014077114
0.8,0.2,0.1,0.9,0.1082869,50000,0.039305149400221444
0.9,0.3,0.1,0.8,0.10833249,50000,0.03892977517583031
0.8,0.2,0.1,0.8,0.10834177,50000,0.03947001999770404
0.9,0.4,0.1,0.9,0.10835244,50000,0.038796172260120235
0.8,0.3,0.1,0.9,0.108355165,50000,0.039302254579636244
0.8,0.1,0.1,0.8,0.10841036,50000,0.03941863172894691
0.8,0.1,0.1,0.9,0.1084587,50000,0.03919358760453347
0.8,0.1,0.1,0.6,0.10857917,50000,0.03988290813396449
0.9,0.2,0.1,0.7,0.1085797,50000,0.03911146941091084
0.7,0.1,0.1,0.7,0.10859529,50000,0.04014251038011909
0.8,0.4,0.1,0.9,0.108616486,50000,0.03920310999729698
0.8,0.3,0.1,0.8,0.108628765,50000,0.03939489066348279
0.8,0.2,0.1,0.7,0.108630925,50000,0.0396099977968718
0.9,0.5,0.1,0.9,0.108644895,50000,0.03866203726364714
0.9,0.3,0.1,0.7,0.10869938,50000,0.03895252852438704
0.9,0.4,0.1,0.8,0.10870234,50000,0.03878234439514294
0.7,0.2,0.1,0.8,0.10874574,50000,0.03989708566495308
0.7,0.4,0.1,0.9,0.10876996,50000,0.03962029641815048
0.7,0.1,0.1,0.8,0.10877594,50000,0.03981796069252359
0.9,0.2,0.1,0.6,0.10878095,50000,0.03916751595498093
0.7,0.3,0.1,0.9,0.1088082,50000,0.039710776314083235
0.8,0.5,0.1,0.9,0.10882368,50000,0.03907530248621131
0.7,0.2,0.1,0.7,0.10882633,50000,0.04012475446557529
0.7,0.2,0.1,0.9,0.10883118,50000,0.03967276049457518
0.7,0.3,0.1,0.8,0.10885432,50000,0.03986887792791063
0.8,0.4,0.1,0.8,0.10886262,50000,0.03924527243976392
0.8,0.2,0.1,0.6,0.10887844,50000,0.03976430221643515
0.7,0.1,0.1,0.6,0.10889384,50000,0.04044855441116001
0.9,0.1,0.1,0.5,0.10893607,50000,0.03937281355497802
0.8,0.3,0.1,0.7,0.10901423,50000,0.03947982185931986
0.8,0.1,0.1,0.5,0.109044366,50000,0.039984410570331495
0.7,0.5,0.1,0.9,0.10904732,50000,0.03949931412813073
0.7,0.1,0.1,0.9,0.109048344,50000,0.039511564339285946
0.7,0.4,0.1,0.8,0.109066784,50000,0.039717074364763696
0.9,0.6,0.1,0.9,0.10906943,50000,0.03847058300026226
0.9,0.4,0.1,0.7,0.10907497,50000,0.03874546263071833
0.7,0.2,0.1,0.6,0.1090866,50000,0.04036375399781712
0.8,0.5,0.1,0.8,0.109102525,50000,0.039078373480433734
0.9,0.5,0.1,0.8,0.10911189,50000,0.03859388205241317
0.9,0.3,0.1,0.6,0.109124415,50000,0.03893111296231966
0.8,0.6,0.1,0.9,0.10914478,50000,0.03890678419451802
0.8,0.4,0.1,0.7,0.10918214,50000,0.03927981195745619
0.8,0.3,0.1,0.6,0.10922027,50000,0.039511206143259044
0.7,0.3,0.1,0.7,0.109232046,50000,0.039996429175396586
0.6,0.4,0.1,0.9,0.10923424,50000,0.04007476503458793
0.6,0.5,0.1,0.9,0.10924823,50000,0.0399342581444372
0.6,0.2,0.1,0.7,0.10925092,50000,0.04064644383853717
0.7,0.6,0.1,0.9,0.10928397,50000,0.03934986307090114
0.6,0.3,0.1,0.9,0.10932879,50000,0.040119896757042896
0.6,0.3,0.1,0.8,0.10932892,50000,0.040345692010451684
0.7,0.5,0.1,0.8,0.10936333,50000,0.03954747421000029
0.6,0.1,0.1,0.7,0.10936641,50000,0.040618804172948005
0.7,0.1,0.1,0.5,0.10937973,50000,0.040606615180956186
0.7,0.4,0.1,0.7,0.10938054,50000,0.03979658005533232
0.6,0.2,0.1,0.8,0.10939014,50000,0.04032934591268952
0.9,0.2,0.1,0.5,0.10940669,50000,0.03916926336978169
0.6,0.4,0.1,0.8,0.10941683,50000,0.040216713362093946
0.9,0.7,0.1,0.9,0.109439835,50000,0.03826406729461677
0.6,0.1,0.1,0.6,0.109440446,50000,0.04098552389698381
0.6,0.2,0.1,0.6,0.109475136,50000,0.04094313267641694
0.9,0.6,0.1,0.8,0.10947948,50000,0.038373273873103034
0.6,0.2,0.1,0.9,0.10950379,50000,0.04002833508513239
0.6,0.3,0.1,0.7,0.10950889,50000,0.04055214056831237
0.8,0.2,0.1,0.5,0.10951629,50000,0.03984065671809009
0.8,0.7,0.1,0.9,0.10952714,50000,0.038686450479356344
0.9,0.5,0.1,0.7,0.109539926,50000,0.03848672403317722
0.8,0.5,0.1,0.7,0.109568864,50000,0.03900138387413402
0.7,0.3,0.1,0.6,0.10957548,50000,0.040128351886063195
0.6,0.5,0.1,0.8,0.1095797,50000,0.04002415497436136
0.8,0.6,0.1,0.8,0.10959556,50000,0.03884760683951366
0.7,0.6,0.1,0.8,0.10960343,50000,0.039333080676938866
0.6,0.6,0.1,0.9,0.109614864,50000,0.039767067779561606
0.9,0.4,0.1,0.6,0.10961873,50000,0.038654959356893455
0.7,0.5,0.1,0.7,0.10967046,50000,0.039556573828436005
0.7,0.7,0.1,0.9,0.1096763,50000,0.03913117322950595
0.7,0.2,0.1,0.5,0.10971211,50000,0.040501867874850724
0.5,0.5,0.1,0.9,0.10971566,50000,0.04039733015378311
0.6,0.4,0.1,0.7,0.10971572,50000,0.04035522840655178
0.9,0.3,0.1,0.5,0.10973697,50000,0.03889670219164269
0.8,0.4,0.1,0.6,0.10974103,50000,0.03923212293708476
0.9,0.8,0.1,0.9,0.10975739,50000,0.03804515894825038
0.6,0.3,0.1,0.6,0.10976214,50000,0.04076767970880002
0.5,0.4,0.1,0.9,0.10979827,50000,0.04051195227225868
0.6,0.1,0.1,0.8,0.10983326,50000,0.040215159237428605
0.5,0.4,0.1,0.8,0.109838374,50000,0.040723924560356846
0.5,0.2,0.1,0.7,0.10984059,50000,0.0411830012166966
0.6,0.7,0.1,0.9,0.109856434,50000,0.03958072187875541
0.7,0.4,0.1,0.6,0.10986325,50000,0.039847125181536644
0.5,0.3,0.1,0.8,0.109871134,50000,0.04080297740211982
0.8,0.8,0.1,0.9,0.109883174,50000,0.03847229717221939
0.5,0.6,0.1,0.9,0.109886155,50000,0.040234563874431056
0.6,0.6,0.1,0.8,0.10991416,50000,0.03981498673789733
0.8,0.3,0.1,0.5,0.1099149,50000,0.0395503296883707
0.5,0.3,0.1,0.9,0.10992054,50000,0.04050812318272811
0.9,0.1,0.1,0.4,0.10992252,50000,0.039197327475421206
0.9,0.7,0.1,0.8,0.10993756,50000,0.03813922624156617
0.6,0.1,0.1,0.5,0.10994648,50000,0.041243973606568264
0.6,0.2,0.1,0.5,0.10994837,50000,0.04116932413308567
0.6,0.5,0.1,0.7,0.10997114,50000,0.040100540052916876
0.7,0.8,0.1,0.9,0.10997445,50000,0.03888555144954315
